launchangle,launchspeed,pitchtype,outcome,bbtype
11,89,Slider,single,line_drive
12,90,Four-Seam Fastball,single,line_drive
31,66,Slider,single,fly_ball
3,87,Curveball,single,ground_ball
15,92,Four-Seam Fastball,single,line_drive
8,102,Slider,single,line_drive
14,91,Four-Seam Fastball,single,line_drive
11,97,Four-Seam Fastball,single,line_drive
1,105,Four-Seam Fastball,single,ground_ball
10,93,Four-Seam Fastball,single,line_drive
36,54,Slider,single,line_drive
-2,88,Curveball,single,ground_ball
-14,93,Four-Seam Fastball,single,ground_ball
33,64,Slider,single,fly_ball
-6,103,Four-Seam Fastball,single,ground_ball
14,90,Curveball,single,line_drive
6,100,Four-Seam Fastball,single,ground_ball
12,95,Four-Seam Fastball,single,line_drive
-3,101,Four-Seam Fastball,single,ground_ball
15,79,Changeup,single,line_drive
19,85,Four-Seam Fastball,single,line_drive
19,102,Slider,triple,line_drive
24,97,Four-Seam Fastball,triple,fly_ball
2,97,Four-Seam Fastball,triple,line_drive
23,100,Four-Seam Fastball,triple,fly_ball
16,106,Four-Seam Fastball,triple,line_drive
18,105,Four-Seam Fastball,triple,line_drive
30,96,Four-Seam Fastball,triple,fly_ball
